"","title","artist","top_peak","streak","entries","avgpos","sdpos","artist_clean","danceability","energy","song_key","loudness","song_mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature","len","cat"
"2312","One Number Away","Luke Combs",34,20,7,55.45,14.0984845351212,"Luke Combs",0.544,0.781,6,-6.16,"0",-3.47054745979695,-5.14131361773837,0,-1.65548185093551,0.527,144.075,221800,"4",10,"long"
"2313","One Of Me","Lil Nas X Featuring Elton John",88,1,7,88,0,"Lil Nas X",0.708,0.598,3,-4.969,"0",-2.7854713480708,-1.59948758158093,0,-1.69826912614072,0.561,144.09,161667,"4",9,"short"
"2314","One Of My","Future",82,1,7,82,0,"Future",0.95,0.5,1,-8.18,"1",-0.918793862092274,-2.2730262907525,3.77e-05,-2.2730262907525,0.598,114.009,142979,"4",6,"short"
"2315","One Of Them Girls","Lee Brice",17,26,7,49.7692307692308,27.8175098571679,"Lee Brice",0.643,0.79,4,-6.079,"1",-3.07477548089444,-1.22417551164346,0,-2.23492644452023,0.8,95.987,188893,"4",9,"long"
"2316","One Right Now","Post Malone & The Weeknd",6,26,7,24.9615384615385,9.00544058061563,"Post Malone",0.687,0.781,1,-4.806,"1",-2.93746336543002,-3.3214624136433,0,-2.58362262272716,0.688,97.014,193507,"4",11,"long"
"2317","One Shot","YoungBoy Never Broke Again Featuring Lil Baby",94,1,7,94,0,"YoungBoy Never Broke Again",0.589,0.684,1,-4.51,"0",-0.931404369684203,-1.94491064872223,0,-1.54177926396029,0.261,112.592,196542,"5",26,"short"
"2318","One That Got Away","Michael Ray",67,9,7,84.5555555555556,11.0333479517819,"Michael Ray",0.565,0.825,10,-4.245,"1",-3.17725415017738,-5.79919265946086,0,-2.55232932610543,0.609,160.003,218733,"4",11,"medium"
"2319","One Thing Right","Marshmello & Kane Brown",36,23,7,52.1739130434783,12.7595871883612,"Marshmello",0.659,0.625,4,-2.253,"1",-3.10109278921182,-2.74264164587183,0,-0.541284831250699,0.442,88.042,181824,"4",10,"long"
"2320","One Too Many","Keith Urban Duet With P!nk",52,34,7,78.5588235294118,14.1075848873113,"Keith Urban Duet With P!nk",0.697,0.535,4,-6.504,"1",-2.68824757380603,-1.39836694235416,0,-0.563874844855806,0.594,82.959,203893,"4",26,"long"
"2321","Only Human","Jonas Brothers",18,36,7,44.6111111111111,23.7223220050297,"Jonas Brothers",0.795,0.496,0,-5.883,"1",-2.62831523308336,-2.22562405185792,0,-2.74109005518041,0.874,94.01,183000,"4",14,"long"
"2322","Only The Young","Taylor Swift",50,1,7,50,0,"Taylor Swift",0.56,0.78,5,-4.895,"0",-2.96229749746775,-6.01575723967703,0,-2.6394574096366,0.602,93.516,157507,"4",12,"short"
